台灣順序,#genre#
台視新聞台,https://t.freetv.fun/live/tai-shi-xin-wen-1.ts
台視新聞台,https://t.freetv.fun/live/tai-shi-xin-wen-2.m3u8
台視新聞台,https://t.freetv.fun/live/tai-shi-xin-wen-3.m3u8
台視新聞台,https://t.freetv.fun/live/tai-shi-xin-wen.m3u8
台視新聞台,https://t.freetv.fun/live/tai-shi-xin-wen-1.ts
台視新聞台,https://t.freetv.fun/live/tai-shi-xin-wen-2.m3u8
台視新聞台,https://t.freetv.fun/live/tai-shi-xin-wen-3.m3u8
台視財經台,https://t.freetv.fun/live/tai-shi-cai-jing.ts
台視財經台,https://t.freetv.fun/live/tai-shi-cai-jing-1.m3u8
台視綜合,https://t.freetv.fun/live/tai-shi-zong-he.ts
台視綜合,https://t.freetv.fun/live/tai-shi-zong-he-1.m3u8
台視綜合,http://74.91.26.218:82/live/ttvzh.m3u8
台視綜合,http://125.227.210.55:3091/VideoInput/play.ts
台視綜合,http://220.135.241.47:8316/0.ts
小公視,http://220.135.241.47:8312/0.ts
小公視,http://74.91.26.218:82/live/ptsse.m3u8
小公視,http://125.227.210.55:3086/VideoInput/play.ts
小公視,https://livecdn9.ptsplus.tv/pts-youth-B/playlist.m3u8
小公視,https://livecdn9.ptsplus.tv/pts-youth-B/3.m3u8
寰宇新聞台灣台,https://ha.msbot.dpdns.org/4gtv_api.php?id=280
寰宇新聞台灣台,https://4gtv.158.qzz.io/163189/ca41743f-7a1b-4040-872a-bc8c26229a4f/
寰宇新聞台灣台,http://4gtv.cnlive.club/channel/n37458587/index.m3u8?q=1782639885837
大愛2台,https://4gtv.158.qzz.io/163189/ceba680a-2d6c-4279-b623-b971c2e7eda4/
大愛2台,http://4gtv.cnlive.club/channel/n7d3932e9/index.m3u8?q=1782639885837
好消息2台,https://4gtv.158.qzz.io/163189/8cf4824b-f4b5-474d-b968-bbdce11feeb7/
Taiwan Plus,http://125.227.210.55:3083/VideoInput/play.ts
Bloomberg TV,https://4gtv.158.qzz.io/163189/0757afc8-8e51-42fd-b9b8-18c01e0a270d/
Bloomberg TV,http://40.160.24.52/BLOOMBERG/index.m3u8
BBC News,https://vs-hls-push-ww-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_news_channel_hd/t=3840/v=pv14/b=5070016/main.m3u8
BBC News,http://125.227.210.55:8165/VideoInput/play.ts
BBC News,https://naori-test.netgenx.site/pxx.php?shk_cid=cs15#.m3u8
台灣,#genre#
AMC電影,https://t.freetv.fun/live/amcdian-ying.m3u8
CNN,http://125.227.210.55:3026/VideoInput/play.ts
民視,http://220.135.241.47:8308/0.ts
民視,https://t.freetv.fun/live/min-shi-1.ts
民視,http://74.91.26.218:82/live/ftv.m3u8
民視,https://t.freetv.fun/live/min-shi-3.ts
民視,https://ha.msbot.dpdns.org/4gtv_api.php?id=3
民視,rtmp://f13h.mine.nu/sat/tv051
民視,https://ha.msbot.dpdns.org/4gtv_api.php?id=246
民視,https://t.freetv.fun/live/min-shi-2.m3u8
民視,https://ha.msbot.dpdns.org/4gtv_api.php?id=468
民視,https://4g.158.qzz.io/163189/0294790909bc9b0e
民視,http://125.227.210.55:8093/VideoInput/play.ts
民視,http://211.72.174.95:8115/0.ts
人間衛視,https://4gtv.158.qzz.io/163189/3c3bab19-4fe1-47b0-accf-4911d65dc9d0/
人間衛視,https://t.freetv.fun/live/ren-jian-wei-shi-1.m3u8
人間衛視,http://4gtv.cnlive.club/channel/7ed5b6d3/index.m3u8?q=1782639885837
台視,https://t.freetv.fun/live/tai-shi.ts
台視,https://t.freetv.fun/live/tai-shi-1-1.ts
台視,http://74.91.26.218:82/live/ttv.m3u8
台視,rtmp://f13h.mine.nu/sat/tv071
台視,http://125.227.210.55:3018/VideoInput/play.ts
台視,rtmp://f13h.mine.nu:1935/sat/tv071
台視,http://211.72.174.95:8112/0.ts
台視,https://t.freetv.fun/live/tai-shi-2.m3u8
台視,http://220.135.241.47:8313/0.ts
大愛,https://4gtv.158.qzz.io/163189/36587122-152c-451b-9d6b-83a856574489/
大愛,http://4gtv.cnlive.club/channel/n7d3037d2/index.m3u8?q=1782639885837
中視,http://220.135.241.47:8301/0.ts
中視,https://t.freetv.fun/live/zhong-shi.ts
中視,http://74.91.26.218:82/live/ctv.m3u8
中視,rtmp://f13h.mine.nu/sat/tv091
中視,https://ha.msbot.dpdns.org/4gtv_api.php?id=4
中視,rtmp://f13h.mine.nu:1935/sat/tv091
中視,https://4gtv.158.qzz.io/163189/430fbb09-b79e-42ca-9cf4-b67f83b4eaf6/
中視,https://t.freetv.fun/live/zhong-shi-3.m3u8
中視,http://125.227.210.55:3049/VideoInput/play.ts
中視,https://t.freetv.fun/live/zhong-shi-2.ts
中視,http://211.72.174.95:8113/0.ts
Lifetime,https://t.freetv.fun/live/lifetime.m3u8
華視,http://74.91.26.218:82/live/cts.m3u8
華視,rtmp://f13h.mine.nu/sat/tv111
華視,https://ha.msbot.dpdns.org/4gtv_api.php?id=6
華視,rtmp://f13h.mine.nu/sat/tv111
華視,https://4gtv.158.qzz.io/163189/b6656a22-9521-40ee-85d5-d4bee1560858/
華視,https://t.freetv.fun/live/hua-shi-1-1.ts
華視,http://125.227.210.55:8163/VideoInput/play.ts
華視,https://t.freetv.fun/live/hua-shi-3.m3u8
華視,http://211.72.174.95:8114/0.ts
華視,https://t.freetv.fun/live/hua-shi-2.ts
公視,http://220.135.241.47:8305/0.ts
公視,https://t.freetv.fun/live/gong-shi.ts
公視,http://74.91.26.218:82/live/pts.m3u8
公視,https://t.freetv.fun/live/gong-shi-1.ts
公視,http://125.227.210.55:3024/VideoInput/play.ts
公視,https://t.freetv.fun/live/gong-shi-2.m3u8
公視,http://211.72.174.95:8116/0.ts
公視台語台,https://t.freetv.fun/live/gong-shi-tai-yu.ts
好消息,https://4gtv.158.qzz.io/163189/1fcde3a2-01b9-47af-b06e-7cce3647be3a/
原住民族電視台,http://220.135.241.47:8303/0.ts
原住民族電視台,https://4gtv.158.qzz.io/163189/8e9f9872-a1f1-4276-a6ce-12a630f96f4c/
原住民族電視台,http://4gtv.cnlive.club/channel/4f20dc68/index.m3u8?q=1782639885837
